Agent,Synonyms
Alpha particles (see Radionuclides),"['Alpha radiation', 'Helium nuclei', 'Ionizing radiation', 'Nuclear radiation', 'Radioactive particles', 'Alpha emissions', 'Short-range radiation', 'Heavy charged particles', 'Alpha decay products', 'Particulate radiation', 'Radionuclide decay', 'Alpha emitters', 'Radiation hazard', 'Alpha rays', 'Emitted helium nuclei']"
Aluminium production,"['Aluminum manufacturing', 'Aluminum smelting', 'Alumina reduction', 'Bayer process', 'Hall-Héroult process', 'Aluminum refining', 'Metal production', 'Smelting industry', 'Aluminum industry', 'Industrial aluminum', 'Metal manufacturing', 'Primary aluminum production', 'Secondary aluminum production', 'Aluminum processing', 'Electrolytic reduction']"
"Anaesthetics, volatile","['Inhalational anesthetics', 'Gaseous anesthetics', 'Vapor anesthetics', 'General anesthetics', 'Anesthetic gases', 'Anesthetic vapors', 'Surgical anesthetics', 'Volatile agents', 'Inhalation agents', 'Anesthetic agents', 'Anesthetic drugs', 'Medical gases', 'Anesthesia agents', 'Operating room gases', 'Surgical gases']"
Androgenic (anabolic) steroids,"['Anabolic steroids', 'Androgens', 'Performance-enhancing drugs', 'Synthetic testosterone', 'Muscle-building drugs', 'Anabolic agents', 'Steroid hormones', 'Testosterone derivatives', 'Synthetic androgens', 'Hormonal drugs', 'Sports doping drugs', 'AAS', 'Tissue-building hormones', 'Synthetic hormones', 'Ergogenic aids']"
Areca nut,"['Betel nut', 'Pinang', 'Paan supari', 'Supari', 'Betel quid ingredient', 'Chewing nut', 'Stimulant nut', 'Betel palm nut', 'Areca catechu', 'Asian chewing nut', 'Masticatory nut', 'Psychoactive nut', 'Betel quid component', 'Arecoline source', 'Chewable nut']"
Arecoline,"['Betel nut alkaloid', 'Areca alkaloid', 'M-methyl-1', '2', '5', '6-tetrahydropyridine-3-carboxylic acid methyl ester', 'Masticatory stimulant', 'Parasympathomimetic', 'Betel quid constituent', 'Psychoactive alkaloid', 'Choline esterase inhibitor', 'Natural alkaloid', 'Areca catechu alkaloid', 'Betel nut ingredient', 'Stimulant alkaloid', 'Muscarinic agonist', 'Alkaloid', 'Areca nut component']"
"Art glass, glass containers and pressed ware (manufacture of)","['Art glass production', 'Glassware manufacturing', 'Pressed glass production', 'Glass container production', 'Glass blowing', 'Glass forming', 'Industrial glass', 'Glass industry', 'Glass production', 'Art glass making', 'Glass container manufacturing', 'Glassware industry', 'Hand-blown glass', 'Pressed glass manufacturing', 'Specialty glass manufacturing']"
Auramine production,"['Auramine dye manufacturing', 'Triarylmethane dye production', 'Dye manufacturing', 'Azo dye production', 'Industrial dye production', 'Chemical dye production', 'Synthetic dye production', 'Industrial auramine', 'Chemical dye', 'Synthetic dye', 'Auramine hydrochloride production', 'Dye industry', 'Colorant production', 'Aniline dye production', 'Synthetic colorant production']"
"Automotive gasoline (see also Gasoline engine exhaust, and Aviation gasoline)","['Petrol', 'Motor fuel', 'Automotive fuel', 'Gas', 'Regular gasoline', 'Unleaded gasoline', 'Premium gasoline', 'Leaded gasoline', 'Road fuel', 'Vehicle fuel', 'Combustion fuel', 'Internal combustion engine fuel', 'Automotive petrol', 'Car fuel', 'Transportation fuel']"
BK polyomavirus (BKV),"['BK virus', 'Human polyomavirus 1', 'Polyomavirus hominis 2', 'BKPyV', 'BKV infection', 'BK virus infection', 'Polyomavirus infection', 'Virus BKV', 'BK virus nephropathy', 'Renal virus', 'Immunocompromised virus', 'Post-transplant virus', 'Hemorrhagic cystitis virus', 'Viral nephropathy', 'Viral infection']"
"Benzidine, dyes metabolized to","['Azo dyes metabolized to benzidine', 'Benzidine-based dyes', 'Dye precursors', 'Azo dye precursors', 'Dye metabolites', 'Benzidine derivatives', 'Dye intermediates', 'Aromatic amine dyes', 'Metabolically activated dyes', 'Dye products', 'Amine-based dyes', 'Benzidine-releasing dyes', 'Cleavable azo dyes', 'Benzidine-generating dyes', 'Dye breakdown products']"
Beta particles (see Radionuclides),"['Beta radiation', 'Electrons', 'Positrons', 'Ionizing radiation', 'Nuclear radiation', 'Radioactive particles', 'Beta emissions', 'High-speed electrons', 'Electron radiation', 'Particulate radiation', 'Radionuclide decay', 'Beta emitters', 'Radiation hazard', 'Beta rays', 'Emitted electrons']"
Betel quid with tobacco,"['Paan with tobacco', 'Betel quid containing tobacco', 'Tobacco quid', 'Chewing tobacco with betel', 'Betel quid and tobacco mix', 'Smokeless tobacco with betel', 'Gutka', 'Mawa', 'Mainpuri tobacco', 'Pan masala with tobacco', 'Chewing mixture', 'Tobacco-laced betel', 'Stimulant tobacco', 'Areca nut with tobacco', 'Tobacco chewing']"
Betel quid without tobacco,"['Paan without tobacco', 'Betel quid', 'Chewing mixture', 'Areca nut quid', 'Betel nut chew', 'Stimulant quid', 'Masticatory quid', 'Asian chew', 'Traditional chew', 'Paan supari', 'Mouth freshener', 'Betel leaf wrap', 'Lime-slaked betel', 'Areca nut and lime', 'Betel leaf chew']"
"Biomass fuel (primarily wood), indoor emissions from household combustion of","['Wood smoke', 'Indoor air pollution from wood burning', 'Biomass combustion emissions', 'Household wood burning emissions', 'Indoor smoke from wood fuel', 'Wood stove emissions', 'Fireplace emissions', 'Indoor air pollution from biomass', 'Residential wood smoke', 'Solid fuel emissions', 'Biomass smoke', 'Wood-burning pollution', 'Indoor biomass burning', 'Household wood burning', 'Smoke exposure']"
Bisulfites,"['Hydrogen sulfites', 'Acid sulfites', 'Sulfite salts', 'Bisulphites', 'Sodium bisulfite', 'Potassium bisulfite', 'Ammonium bisulfite', 'Sulfite preservatives', 'Reducing agents', 'Food preservatives', 'Chemical additives', 'Antioxidants', 'Wine preservatives', 'Preservatives', 'Sulfiting agents']"
"Bitumens, occupational exposure to hard bitumens and their emissions during mastic asphalt work","['Asphalt exposure', 'Road paving exposure', 'Roofing exposure', 'Asphalt fumes', 'Occupational bitumen exposure', 'Mastic asphalt fumes', 'Road worker exposure', 'Roofing worker exposure', 'Asphalt paving', 'Bitumen fumes', 'Asphalt work', 'Asphalt emissions', 'Paving worker exposure', 'Roofing emissions', 'Road construction exposure']"
"Boot and shoe manufacture and repair (see Leather dust, Benzene)","['Shoemaking', 'Shoe repair', 'Footwear manufacturing', 'Leather working', 'Cobbling', 'Shoe industry', 'Footwear industry', 'Shoe production', 'Leather shoe manufacturing', 'Shoe making', 'Industrial footwear', 'Leather boot manufacturing', 'Occupational shoe work', 'Footwear repair', 'Shoe factory work']"
Bracken fern,"['Pteridium aquilinum', 'Brake fern', 'Eagle fern', 'Carcinogenic fern', 'Toxic fern', 'Woodland fern', 'Common bracken', 'Fern toxin', 'Ptaquiloside source', 'Edible fern (young shoots)', 'Ptaquiloside-containing fern', 'Carcinogenic plant', 'Fern species', 'Bracken', 'Pteridium']"
Calcium carbide production,"['Acetylene production', 'Carbide production', 'Lime and coke process', 'Industrial calcium carbide', 'Chemical manufacturing', 'Electric arc furnace process', 'Carbide manufacturing', 'Industrial carbide', 'Calcium carbide process', 'Acetylene generator', 'Lime and carbon process', 'Carbide manufacturing', 'Industrial process', 'Chemical process', 'Carbide industry']"
Carbon electrode manufacture,"['Graphite electrode production', 'Electrode manufacturing', 'Carbon production', 'Graphite production', 'Industrial carbon', 'Electrochemical industry', 'Carbon electrode production', 'Anode production', 'Cathode production', 'Electrode manufacturing', 'Industrial process', 'Graphite electrode manufacturing', 'Carbon industry', 'Electrode industry', 'Carbon product manufacturing']"
Carpentry and joinery,"['Woodworking', 'Cabinet making', 'Woodcraft', 'Joinery', 'Furniture making', 'Wood construction', 'Timber work', 'Timber framing', 'Wood finishing', 'Building construction', 'Wood assembly', 'Carpentry work', 'Wood carving', 'Millwork', 'Wood trades']"
Ceramic implants,"['Bioceramic implants', 'Orthopedic ceramics', 'Dental ceramics', 'Surgical implants', 'Biomaterials', 'Medical implants', 'Bone grafts', 'Joint replacements', 'Implant materials', 'Ceramic biomaterials', 'Hard tissue implants', 'Medical ceramics', 'Synthetic implants', 'Orthopedic implants', 'Implantable ceramics']"
Chimney sweeping (see Soot),"['Chimney cleaning', 'Soot removal', 'Fireplace cleaning', 'Flue cleaning', 'Chimney maintenance', 'Combustion residue removal', 'Soot abatement', 'Home heating maintenance', 'Fire safety', 'Carbon deposit removal', 'Chimney service', 'Sweep work', 'Residential cleaning', 'Fireplace maintenance', 'Chimney sweeping industry']"
Chlorinated drinking-water,"['Chlorinated water', 'Disinfected water', 'Municipal water', 'Potable water', 'Public water supply', 'Water purification', 'Water treatment', 'Tap water', 'Treated water', 'Drinking water', 'Chlorinated tap water', 'Domestic water supply', 'Safe water', 'Clean water', 'Water disinfection']"
Chlorinated paraffins of average carbon chain length C12 and average degree of chlorination approximately 60%,"['Short-chain chlorinated paraffins', 'SCCPs', 'Chlorinated alkanes', 'Chlorinated hydrocarbons', 'Flame retardants', 'Plasticizers', 'Industrial chemicals', 'Organochlorines', 'Halogenated paraffins', 'Chlorinated waxes', 'Chemical additives', 'Plastic additives', 'Lubricant additives', 'Polymer additives', 'Chlorinated solvents']"
Chlorophenols (see Polychlorophenols),['<no synonym>']
Chlorophenoxy herbicides,"['2', '4-D', '2', '4', '5-T', 'MCPA', 'Dichlorophenoxyacetic acid herbicides', 'Weed killers', 'Phenoxy herbicides', 'Herbicide chemicals', 'Agricultural herbicides', 'Selective herbicides', 'Hormone weed killers', 'Plant growth regulators', 'Synthetic auxins', 'Pesticides', 'Broadleaf herbicides', 'Systemic herbicides']"
Coal dust,"['Coal particles', 'Airborne coal', 'Coal mine dust', 'Respirable coal dust', 'Fine coal particles', 'Black lung dust', 'Coal mine particulates', 'Inhalable coal dust', 'Coal dust exposure', 'Particulate matter', 'Pneumoconiosis dust', 'Mining dust', 'Coal mine hazard', 'Industrial dust', 'Carbon dust']"
Coal gasification,"['Coal-to-gas conversion', 'Synthetic gas production', 'Syngas production', 'Coal gasification process', 'Gasification of coal', 'Fuel gas production', 'Coal conversion', 'Synthetic fuel production', 'Industrial gas production', 'Energy production', 'Coal processing', 'Petrochemical process', 'Chemical process', 'Clean coal technology', 'Energy technology']"
"Coal, indoor emissions from household combustion of","['Indoor air pollution from coal', 'Household coal burning emissions', 'Residential coal smoke', 'Indoor coal smoke', 'Coal stove emissions', 'Solid fuel emissions', 'Coal combustion emissions', 'Household coal burning', 'Indoor air pollution', 'Domestic coal burning', 'Residential coal burning', 'Coal smoke', 'Smoke exposure', 'Indoor pollution', 'Combustion emissions']"
"Cobalt and cobalt compounds, see Soluble cobalt(II) salts, Cobalt metal (without tungsten carbide or other metal alloys), Cobalt(II) oxide, Cobalt(II,III) oxide, Cobalt(II) sulfide, and Other cobalt(II) compounds (not including Soluble cobalt(II) salts, Cobalt(II) oxide, Cobalt(II,III) oxide, or Cobalt(II) sulfide)",['<no synonym>']
"Cobalt metal without tungsten carbide, see Cobalt metal (without tungsten carbide or other metal alloys)",['<no synonym>']
"Cobalt sulfate and other soluble cobalt(II) salts, see Soluble cobalt(II) salts",['<no synonym>']
"Coffee, drinking","['Brewed coffee', 'Coffee beverage', 'Hot coffee', 'Coffee consumption', 'Caffeinated coffee', 'Decaffeinated coffee', 'Roasted coffee', 'Coffee intake', 'Coffee drink', 'Aromatic coffee', 'Filtered coffee', 'Espresso', 'Instant coffee', 'Coffee preparation', 'Coffee infusion']"
Coke production,"['Coke manufacturing', 'Coal carbonization', 'Coke oven process', 'Steel industry process', 'Industrial coke', 'Metallurgical coke', 'Carbonization process', 'Coal processing', 'Coke oven emissions', 'Industrial process', 'Steelmaking process', 'Coke plant operation', 'Carbon production', 'Metallurgical process', 'Coal-derived coke']"
Continuous glass filament (see Glass filament),['<no synonym>']
Dental materials,"['Restorative materials', 'Filling materials', 'Prosthetic materials', 'Dental implants', 'Dental resins', 'Dental composites', 'Ceramic crowns', 'Dental alloys', 'Amalgam fillings', 'Dental cements', 'Dental adhesives', 'Acrylic resins', 'Porcelain crowns', 'Dental polymers', 'Dental restorative agents']"
"Depleted uranium (see Radionuclides, alpha-particle-emitting, internally deposited)",['<no synonym>']
"Diesel engine exhaust (see Engine exhaust, diesel)",['<no synonym>']
"Diesel fuel, marine","['Marine diesel', 'Marine gas oil', 'MGO', 'Fuel oil for ships', 'Ship fuel', 'Bunker fuel', 'Marine engine fuel', 'Maritime fuel', 'Vessel fuel', 'Marine transportation fuel', 'Diesel oil for ships', 'Oceanic fuel', 'Seafaring fuel', 'Marine propulsion fuel', 'Ship propulsion fuel']"
"Diesel fuels, distillate (light)","['Light diesel', 'Automotive diesel', 'Road diesel', 'Diesel oil', 'Fuel oil', 'Distillate fuel', 'Middle distillate', 'Petroleum distillate', 'Heating oil', 'Gas oil', 'Light fuel oil', 'No. 2 fuel oil', 'Diesel engine fuel', 'Low sulfur diesel', 'ULSD']"
Dry cleaning (occupational exposures in),"['Perchloroethylene exposure', 'Tetrachloroethylene exposure', 'Dry cleaning industry', 'Dry cleaning solvent exposure', 'Occupational dry cleaning', 'Garment cleaning', 'Textile cleaning', 'Solvent exposure', 'Dry cleaning work', 'Perc exposure', 'PCE exposure', 'Cleaning industry', 'Industrial cleaning', 'Fabric cleaning', 'Dry cleaning chemicals']"
"Dyes metabolized to benzidine (see Benzidine, dyes metabolized to)",['<no synonym>']
"Electric fields, extremely low-frequency","['ELF electric fields', 'Low-frequency EMF', '50/60 Hz fields', 'Power line fields', 'Household appliance fields', 'Electromagnetic fields', 'Non-ionizing radiation', 'AC electric fields', 'Extremely low-frequency fields', 'Electric power fields', 'EMF exposure', 'ELF-EMF', 'Residential EMF', 'Power frequency fields', 'Environmental EMF']"
"Electric fields, static","['Electrostatic fields', 'Direct current fields', 'DC electric fields', 'Stationary electric fields', 'Non-varying electric fields', 'Constant electric fields', 'Static electricity', 'Electrostatic charge', 'DC fields', 'Non-alternating fields', 'Unchanging electric fields', 'Fixed electric fields', 'Stable electric fields', 'Steady electric fields', 'Non-dynamic fields']"
"Engine exhaust, diesel","['Diesel fumes', 'Diesel emissions', 'Diesel particulate matter', 'Exhaust fumes', 'Combustion byproducts', 'Diesel smoke', 'Vehicle emissions', 'Air pollution', 'Combustion products', 'Engine emissions', 'Internal combustion engine exhaust', 'Exhaust gases', 'Diesel particulates', 'Automobile exhaust', 'Transportation emissions']"
"Engine exhaust, gasoline","['Petrol fumes', 'Gasoline emissions', 'Gasoline particulate matter', 'Exhaust fumes', 'Combustion byproducts', 'Gasoline smoke', 'Vehicle emissions', 'Air pollution', 'Combustion products', 'Engine emissions', 'Internal combustion engine exhaust', 'Exhaust gases', 'Gasoline particulates', 'Automobile exhaust', 'Transportation emissions']"
Epstein-Barr virus,"['EBV', 'Human herpesvirus 4', 'HHV-4', 'Mononucleosis virus', 'Infectious mononucleosis virus', ""Burkitt's lymphoma virus"", 'Nasopharyngeal carcinoma virus', 'Viral oncogene', 'Gammaherpesvirus', 'Lymphocryptovirus', 'EB virus', 'Human gammaherpesvirus 4', 'EBV infection', 'Burkitt lymphoma virus', 'Nasopharyngeal carcinoma']"
"Estrogen therapy, postmenopausal","['Hormone replacement therapy', 'HRT', 'Postmenopausal hormone therapy', 'Estrogen replacement therapy', 'ERT', 'Menopausal hormone therapy', 'Postmenopausal estrogen', 'Hormone therapy for menopause', 'Menopause hormone therapy', 'Hormone replacement', 'Replacement estrogen', 'Conjugated estrogens', 'Estrogen supplements', 'Synthetic estrogens', 'Estrogen treatment']"
Estrogen-progestogen menopausal therapy (combined),"['Combined HRT', 'Combined hormone replacement therapy', 'Estrogen-progestogen HRT', 'Combined menopausal therapy', 'Estrogen-progesterone therapy', 'Menopausal hormone therapy', 'HRT with progestogen', 'Combined hormone therapy', 'Estrogen-progesterone HRT', 'Combined estrogen therapy', 'Hormone replacement', 'Postmenopausal HRT', 'Estrogen and progestin therapy', 'Combined postmenopausal therapy', 'Postmenopausal hormone replacement']"
Estrogen-progestogen oral contraceptives (combined),"['Combined oral contraceptives', 'COCs', 'Birth control pills', 'Oral contraceptives', 'Contraceptive pills', 'Hormonal contraception', 'Combined pills', 'Estrogen-progesterone pills', 'Contraceptive hormones', 'The pill', 'Combination oral contraceptives', 'Estrogen and progestin', 'Synthetic hormones', 'Hormonal birth control', 'Preventatives']"
Firefighter (occupational exposure as a),"['Fireman', 'Fire service worker', 'Fire brigade member', 'Fire protection worker', 'Emergency responder', 'Fire and rescue worker', 'Fire suppression worker', 'Fire control specialist', 'Fire professional', 'Fire combatant', 'Fire department employee', 'Fire safety officer', 'Fire crew member', 'Rescue worker', 'Fire personnel']"
"Fission products, including strontium-90","['Nuclear fission products', 'Radioactive isotopes', 'Nuclear waste', 'Radioactive byproducts', 'Nuclear fallout', 'Strontium-90', 'Radioactive elements', 'Fission byproducts', 'Nuclear reaction products', 'Reactor waste', 'Nuclear chain reaction products', 'Radioactive contamination', 'Nuclear residue', 'Strontium isotope', 'Nuclear isotopes']"
Flat-glass and specialty glass (manufacture of),"['Flat glass production', 'Plate glass manufacturing', 'Sheet glass manufacturing', 'Specialty glass production', 'Industrial glass manufacturing', 'Glass industry', 'Glass production', 'Window glass manufacturing', 'Float glass manufacturing', 'Laminated glass production', 'Tempered glass production', 'Industrial glass', 'Glass manufacturing', 'Flat glass industry', 'Specialty glass industry']"
Fluorescent lighting,"['Fluorescent lamps', 'Fluorescent tubes', 'Energy-efficient lighting', 'Compact fluorescent lamps', 'CFLs', 'Gas-discharge lamps', 'Electric discharge lamps', 'Lighting technology', 'Low-energy lighting', 'Fluorescent light bulbs', 'Tubular lamps', 'Linear fluorescent lamps', 'High-efficiency lighting', 'Ambient lighting', 'Artificial lighting']"
Fluoro-edenite fibrous amphibole,"['Fluoro-edenite asbestos', 'Amphibole asbestos', 'Fibrous silicate', 'Mineral fiber', 'Edenite asbestos', 'Amphibole fiber', 'Asbestos substitute', 'Fluoro-edenite', 'Edenite amphibole', 'Silicate mineral', 'Amphibole mineral', 'Mineral fiber', 'Fibrous mineral', 'Fluoro-amphibole', 'Mineral']"
"Foreign\xa0 bodies (see Ceramic implants, Dental materials, Implanted foreign bodies, Metallic implants, Organic polymeric materials, Orthopaedic implants, Polymeric implants, Silicone breast implants)",['<no synonym>']
"Frying, emissions from high-temperature","['Cooking fumes', 'Cooking emissions', 'Heated oil emissions', 'Cooking vapors', 'Airborne oil particles', 'Frying oil emissions', 'High-heat cooking', 'High-temperature cooking', 'Hot oil fumes', 'Cooking smoke', 'Food processing emissions', 'Restaurant emissions', 'Commercial cooking emissions', 'Industrial cooking emissions', 'Kitchen fumes']"
"Fuel oils, distillate (light)","['Light fuel oil', 'Heating oil', 'Diesel fuel', 'Gas oil', 'No. 2 fuel oil', 'Middle distillate', 'Petroleum distillate', 'Distillate fuel', 'Burner oil', 'Furnace oil', 'Heating fuel', 'Home heating oil', 'Light heating oil', 'Light petroleum', 'Petroleum fuel']"
"Fuel oils, residual (heavy)","['Heavy fuel oil', 'Bunker fuel', 'Marine fuel', 'Residual oil', 'No. 6 fuel oil', 'Heavy petroleum', 'Heavy distillate', 'High-sulfur fuel oil', 'Petroleum residue', 'Viscous fuel oil', 'Industrial fuel', 'Ship fuel', 'Boiler fuel', 'Furnace fuel', 'Power plant fuel']"
Furniture and cabinet making (see Wood dust),['<no synonym>']
Gamma-Radiation (see X- and Gamma-Radiation),['<no synonym>']
"Aviation gasoline (see also Automotive gasoline, and Gasoline engine exhaust)","['Avgas', 'Aircraft fuel', 'Aviation fuel', 'High-octane gasoline', 'Petrol', 'Gasoline', 'Reciprocating engine fuel', 'Piston engine fuel', 'Aviation petrol', 'Avgas 100LL', 'Aviation motor spirit', 'Aircraft gasoline', 'Fuel for aircraft', 'High-performance gasoline', 'Specialized gasoline']"
"Gasoline engine exhaust (see Engine exhaust, gasoline)",['<no synonym>']
"Glass filament, continuous","['Continuous filament glass', 'Fiberglass', 'Glass fiber', 'Textile glass', 'Filament glass', 'Glass roving', 'Glass strand', 'Reinforcing glass', 'Continuous fiber', 'Glass textile', 'Woven glass', 'Industrial glass', 'Filamentary glass', 'Glass reinforcement', 'Fiber glass']"
